"","geographic_country","geographic_region","lob","card_brand"
"1","Canada (CAD)","Canada","Direct","Amex"
"2","Canada (CAD)","Canada","Direct","Discover"
"3","Canada (CAD)","Canada","Direct","MasterCard"
"4","Canada (CAD)","Canada","Direct","Visa"
"5","Canada (CAD)","Canada","Enterprise","Amex"
"6","Canada (CAD)","Canada","Enterprise","Discover"
"7","Canada (CAD)","Canada","Enterprise","MasterCard"
"8","Canada (CAD)","Canada","Enterprise","Visa"
"9","Canada (CAD)","Canada","Integrated","Amex"
"10","Canada (CAD)","Canada","Integrated","Discover"
"11","Canada (CAD)","Canada","Integrated","MasterCard"
"12","Canada (CAD)","Canada","Integrated","Visa"
"13","Canada (CAD)","Canada","Wholesale","Amex"
"14","Canada (CAD)","Canada","Wholesale","Discover"
"15","Canada (CAD)","Canada","Wholesale","MasterCard"
"16","Canada (CAD)","Canada","Wholesale","Visa"
"17","Canada (USD)","Canada","Direct","Discover"
"18","Canada (USD)","Canada","Direct","MasterCard"
"19","Canada (USD)","Canada","Direct","Visa"
"20","Canada (USD)","Canada","Enterprise","MasterCard"
"21","Canada (USD)","Canada","Enterprise","Visa"
"22","Canada (USD)","Canada","Integrated","MasterCard"
"23","Canada (USD)","Canada","Integrated","Visa"
"24","Canada (USD)","Canada","Wholesale","MasterCard"
"25","Canada (USD)","Canada","Wholesale","Visa"
"26","Hong Kong","Asia-Pacific","Direct","MasterCard"
"27","Hong Kong","Asia-Pacific","Direct","Visa"
"28","Hong Kong","Asia-Pacific","Enterprise","Discover"
"29","Hong Kong","Asia-Pacific","Enterprise","MasterCard"
"30","Hong Kong","Asia-Pacific","Enterprise","Visa"
"31","India","Asia-Pacific","Direct","MasterCard"
"32","India","Asia-Pacific","Direct","Visa"
"33","India","Asia-Pacific","Enterprise","MasterCard"
"34","India","Asia-Pacific","Enterprise","Visa"
"35","Macau","Asia-Pacific","Direct","MasterCard"
"36","Macau","Asia-Pacific","Direct","Visa"
"37","Macau","Asia-Pacific","Enterprise","MasterCard"
"38","Macau","Asia-Pacific","Enterprise","Visa"
"39","Malaysia","Asia-Pacific","Direct","MasterCard"
"40","Malaysia","Asia-Pacific","Direct","Visa"
"41","Malaysia","Asia-Pacific","Enterprise","MasterCard"
"42","Malaysia","Asia-Pacific","Enterprise","Visa"
"43","Maldives","Asia-Pacific","Direct","MasterCard"
"44","Maldives","Asia-Pacific","Direct","Visa"
"45","Maldives","Asia-Pacific","Enterprise","MasterCard"
"46","Maldives","Asia-Pacific","Enterprise","Visa"
"47","Philippines","Asia-Pacific","Direct","MasterCard"
"48","Philippines","Asia-Pacific","Direct","Visa"
"49","Philippines","Asia-Pacific","Enterprise","MasterCard"
"50","Philippines","Asia-Pacific","Enterprise","Visa"
"51","Singapore","Asia-Pacific","Direct","MasterCard"
"52","Singapore","Asia-Pacific","Direct","Visa"
"53","Singapore","Asia-Pacific","Enterprise","MasterCard"
"54","Singapore","Asia-Pacific","Enterprise","Visa"
"55","Sri Lanka","Asia-Pacific","Direct","MasterCard"
"56","Sri Lanka","Asia-Pacific","Direct","Visa"
"57","Sri Lanka","Asia-Pacific","Enterprise","MasterCard"
"58","Sri Lanka","Asia-Pacific","Enterprise","Visa"
"59","United Kingdom","Europe","Direct","Amex"
"60","United Kingdom","Europe","Direct","MasterCard"
"61","United Kingdom","Europe","Direct","Visa"
"62","United Kingdom","Europe","Enterprise","Amex"
"63","United Kingdom","Europe","Enterprise","MasterCard"
"64","United Kingdom","Europe","Enterprise","Visa"
"65","United Kingdom","Europe","Wholesale","Amex"
"66","United Kingdom","Europe","Wholesale","MasterCard"
"67","United Kingdom","Europe","Wholesale","Visa"
"68","United States","United States","Direct","Amex"
"69","United States","United States","Direct","Discover"
"70","United States","United States","Direct","MasterCard"
"71","United States","United States","Direct","Visa"
"72","United States","United States","Enterprise","Amex"
"73","United States","United States","Enterprise","Discover"
"74","United States","United States","Enterprise","MasterCard"
"75","United States","United States","Enterprise","Visa"
"76","United States","United States","Integrated","Amex"
"77","United States","United States","Integrated","Discover"
"78","United States","United States","Integrated","MasterCard"
"79","United States","United States","Integrated","Visa"
"80","United States","United States","Wholesale","Amex"
"81","United States","United States","Wholesale","Discover"
"82","United States","United States","Wholesale","MasterCard"
"83","United States","United States","Wholesale","Visa"
